Step,Energy
0,-856.609741012
1,-856.610100940
2,-856.609747055
3,-856.610149390
4,-856.610132742
5,-856.610124974
6,-856.610153089
7,-856.610163445
8,-856.610167585
9,-856.610170047
10,-856.610170628
11,-856.610170824
12,-856.610170839
13,-856.610170839
14,-856.610170839
