Step,Energy
0,-629.250283808
1,-629.255980447
2,-629.256977887
3,-629.257605402
4,-629.258155583
5,-629.257960419
6,-629.258080345
7,-629.258204727
8,-629.258313218
9,-629.258367947
10,-629.258385246
11,-629.258409354
12,-629.258415596
13,-629.258421085
14,-629.258422192
15,-629.258422459
16,-629.258422582
17,-629.258422587
18,-629.258422587
19,-629.258422587
